id_ip,id_ip_folder
3,1
5,1
10,1
11,1
12,1
13,1
14,1
15,1
17,1
18,1
20,1
21,1
24,1
25,1
26,1
27,1
28,1
29,1
31,1
33,1
34,1
35,1
42,1
43,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
60,1
63,1
64,1
65,1
73,1
75,1
78,1
82,1
83,1
84,1
88,1
92,1
93,1
94,1
101,1
102,1
103,1
104,1
106,1
111,1
118,1
119,1
120,1
121,1
122,1
123,1
128,1
129,1
133,1
136,1
146,1
152,1
153,1
154,1
155,1
157,1
161,1
164,1
171,1
172,1
178,1
179,1
180,1
182,1
185,1
187,1
190,1
196,1
197,1
200,1
203,1
204,1
205,1
206,1
212,1
214,1
221,1
226,1
227,1
228,1
232,1
235,1
236,1
237,1
238,1
241,1
249,1
251,1
254,1
256,1
261,1
266,1
273,1
274,1
275,1
283,1
286,1
287,1
290,1
292,1
295,1
300,1
302,1
305,1
306,1
308,1
314,1
315,1
316,1
319,1
326,1
332,1
342,1
343,1
344,1
347,1
348,1
364,1
367,1
369,1
370,1
375,1
378,1
379,1
381,1
382,1
383,1
384,1
385,1
386,1
388,1
396,1
398,1
399,1
403,1
404,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
415,1
416,1
419,1
420,1
430,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
440,1
446,1
447,1
453,1
454,1
457,1
460,1
463,1
464,1
467,1
468,1
469,1
474,1
484,1
491,1
493,1
494,1
495,1
500,1
501,1
510,1
511,1
512,1
519,1
521,1
523,1
524,1
525,1
530,1
531,1
532,1
533,1
535,1
536,1
537,1
538,1
544,1
546,1
547,1
551,1
552,1
553,1
554,1
556,1
562,1
563,1
564,1
566,1
567,1
568,1
569,1
570,1
571,1
579,1
582,1
585,1
591,1
594,1
598,1
600,1
602,1
603,1
608,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
630,1
631,1
637,1
638,1
642,1
643,1
644,1
645,1
646,1
659,1
661,1
662,1
668,1
671,1
672,1
673,1
675,1
680,1
681,1
692,1
695,1
696,1
697,1
699,1
713,1
714,1
718,1
724,1
733,1
736,1
738,1
741,1
744,1
747,1
748,1
749,1
753,1
761,1
764,1
771,1
778,1
790,1
793,1
794,1
